codigo,descricao,gtin,preco,estoque
537274,WAFER ISABELA 100G LIMAO,7896022086220,2.79,629000
537275,"WAFER ISABELA 100G MORANGO 05 UN POR 10,00",7896022086190,2.79,879000
537428,BISC RECH PASSATEMPO 130G MOR,7891000241295,3.99,2
537444,BISC PARATI 740G MARIA TRAD,7896011103518,13.9,779000
537445,BISC PARATI 740G AGUA E SAL,7896011103532,14.9,241000
537604,BISC NESFIT 160G CACAU E CEREAIS,7891000304556,4.99,7000
537607,BISC NESFIT 160G BANANA CANELA,7891000304839,4.99,8000
537655,BISC DELICIAS DA VOVO 300G NATA ESPECIAL,7898129610155,14.9,8000
537656,BISC DELICIAS DA VOVO 250G ROSCA NATA,7898129610902,14.9,14000
537658,BISC DELICIAS DA VOVO 300G AMEND CHOCO,7898129610537,14.9,30000
537758,BISC NESFIT 160G LAR/CENOURA,7891000304754,5.49,85000
537842,BISC POLVILHO SABOR 60G CHIA,7898924857656,9.9,0
537954,ALFAJOR PREMIUM BLACK UN,7898948041390,4.99,20000
537955,BISC RECH PASSATEMPO 130G CHOCO,7891000241356,3.99,3
538231,MERENGUE DA VOVO 150G,7898129610124,10.9,21000
538238,BISC ROSQUINHA ORQUIDEA 300G CHOC LEITE,7896412802843,7.99,25000
538239,BISC ROSQUINHA ORQUIDEA 300G CHOCO,7896412803178,7.99,32000
538241,WAFER ORQUDIEA 120G CHOC,7896412802546,2.99,600000
538242,WAFER ORQUIDEA 100G CHOCOLATE SUICO,7896412851810,3.19,63000
538246,ALFAJOR ODARA UN,7898994498018,5.5,0
538537,BISC ORQUIDEA 300G SORTIDO AMANT,7896412802621,8.99,12000
538658,BISC DELICIAS DA VOVO 80G POLVILHO,7898129610650,10.9,35000
538741,BISC RECH ISABELA FOMINHAS 130G MOR/CHOC,7896022086503,2.69,24000
538742,BISC RECH ISABELA FOMINHAS 130G CHOC,7896022086480,2.69,6000
538814,BISCOITO JASMINE ARROZ 90G ORIGINAL,7896283006395,12.9,4000
538815,BISC JASMINE INT 200G ROSCA AVEIA E MEL,7896283000478,9.9,0
538864,WAFER MINUETO MEGA 105G CHOCO,7896011108551,2.99,157000
538891,SEQUILHOS NATURAL LIFE 180G LIMAO,7896256065558,15.9,0
538893,BISC HUE ZERO 120G CHOC BAUNILHA,7898337001837,7.49,1000
538932,BISC DELICIAS DA VOVO 300G AMANT 538932,7898129610513,14.9,6000
539175,BISC KLAIN 500G MANTEIGUINHA,7898963777359,12.9,16000
539236,BISC AMANT DA COLONIA 250G C/ GOIABA,7896181710578,15.9,1000
539530,PAO MEL DA COLONIA 280G C/CHOCOLATE,7896181710837,16.9,16000
539567,COOKIES JASMINE INTEG 120G CACAU,7896283000898,12.9,2000
539877,BISC HOT CRACKER 150G REQUEIJAO,7896011107387,5.99,2000
539878,BISC HOT CRACKER 150G PIZZA,7896011105512,5.99,27000
539879,WAFER MINUETO MEGA 105G MORANGO,7896011108568,2.99,151000
540171,BISC KLAIN 250G FOLHADO DOCE,7898963777595,11.9,41000
540241,TORRADA BAUDUCCO CEREALE 128G INTEG,7891962058726,6.99,30000
540242,TORRADA BAUDUCCO CEREALE 128G,7891962058719,6.99,10000
540477,BISC NESTLE TOSTINES 160G COCO,7891000329498,4.49,0
540478,WAFER NESTLE BONO 110G LIMAO,7891000329207,4.99,0
540608,BISC NESTLE TOSTINES 160G MACA,7891000329450,4.49,0
540826,BISC RECH ISABELA MOUSSE 150G MORANGO C/CHOC,7896022086329,3.99,46000
540870,BISC RECH ISABELA MOUSSE 130G LIMAO,7896022086336,2.99,95000
540940,BISC ISABELA TORTINHAS 140G AVELA,7896022086398,3.69,173000
540941,BISC ISABELA TORTINHAS 140G LIMAO,7896022056537,2.99,251000
540945,BISC ISABELA TORTINHAS 140G CHOC SUICO,7896022086428,3.69,87000
540946,BISC ISABELA TORTINHAS 140G CHOC TRAD,7896022086374,3.69,143000
540949,BISC BELVITA 75G LEITE AVEIA,7622210661746,7.49,209000
540950,BISC BELVITA 75G MACA CANELA,7622210661777,7.49,134000
540951,BISC BELVITA 75G AVELA CACAU,7622210661708,7.49,47000
541041,BISC KLAIN 240G AMANTEIGADO,7898963777731,6.99,27000
541042,BISC KLAIN 240G MAISENA,7898963777724,6.99,74000
541084,BISC CHOCOBISCUITS NESTLE 80G,7891000328279,6.99,0
541345,COOKIE ORGANICO JASMINE 150G CAST 541345,7896283001895,8.99,3000
541348,COOKIES JASMINE INT 120G CASTANHA,7896283001321,12.9,5000
541349,COOKIES JASMINE INTEG 200G AVEL,7896283004513,12.9,0
541350,COOKIES JASMINE INTEG 200G CAFE,7896283001253,12.9,0
541763,BISC GERMANI 400G MAIZENA,7898045275063,5.99,60000
541768,BISC PARATI CARTOON 110G BRIGADEIRO,7896011108810,2.69,136000
541850,BISC PARATI CARTOON 110G MORANGO,7896011108797,2.69,92000
541885,PAO MEL BELIVE 45G SEM ACUCAR,7898380411799,10.9,0
542179,HERSHEYS CHOCOTUBES 25G,7899970401183,3.5,41000
542256,BOLACHAO GIRASSOL 400G MEL,7898016290637,6.99,1000
